# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2017-04-13 15:54:59,,,,,,,,,,,
,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,BlkRatio,rawArea
1,170410_Poo_April10AqExtractsFull_1,Alanine,11.03,,37478944,37283487,2881412,NA,82.39580804,0.005215115,37478944
2,170410_Poo_April10AqExtractsFull_2,Alanine,11.01,,35453860,35258403,2861979,NA,214.7680583,0.005512996,35453860
3,170410_Poo_April10AqExtractsFull_3,Alanine,10.96,,34250932,34055475,2459113,NA,167.964507,0.005706618,34250932
4,170410_Poo_April10AqExtractsHalf_1,Alanine,11.01,,21438088,21242631,1657644,NA,167.1133298,0.009117278,21438088
5,170410_Poo_April10AqExtractsHalf_2,Alanine,10.98,,19525802,19330345,1598659,NA,93.13326098,0.010010191,19525802
6,170410_Poo_April10AqExtractsHalf_3,Alanine,10.96,,18856360,18660903,1393464,NA,94.86597374,0.010365574,18856360
7,170410_Smp_32ppt-1C_A,Alanine,10.99,,37660484,37465027,3122533,NA,89.34868898,0.005189976,37660484
8,170410_Smp_32ppt-1C_B,Alanine,10.98,,35535272,35339815,2714093,NA,183.2826424,0.005500366,35535272
9,170410_Smp_32ppt-1C_C,Alanine,11.01,,37864672,37669215,2852911,NA,2058.415344,0.005161988,37864672
10,170410_Smp_32ppt4C_A,Alanine,11.05,,29183272,28987815,2126913,NA,85.79639234,0.00669757,29183272
11,170410_Smp_32ppt4C_B,Alanine,11.05,,33099526,32904069,2419101,NA,59.33564094,0.00590513,33099526
12,170410_Smp_32ppt4C_C,Alanine,11.06,,33219670,33024213,2543608,NA,57.25989893,0.005883773,33219670
13,170410_Smp_40ppt-1C_A,Alanine,11.03,,46507100,46311643,3589181,NA,159.5865785,0.004202735,46507100
14,170410_Smp_40ppt-1C_B,Alanine,11.03,,44288888,44093431,3508245,NA,454.9563355,0.004413229,44288888
15,170410_Smp_40ppt-1C_C,Alanine,11.01,,44802344,44606887,3624980,NA,84.72689268,0.004362651,44802344
16,170410_Smp_40ppt4C_A,Alanine,11.08,,29535190,29339733,2128490,NA,236.800487,0.006617767,29535190
17,170410_Smp_40ppt4C_B,Alanine,11.03,,28525468,28330011,2237181,NA,171.0576368,0.006852017,28525468
18,170410_Smp_40ppt4C_C,Alanine,10.98,,24172132,23976675,1916510,NA,238.60832,0.008086047,24172132
19,170410_Poo_April10AqExtractsFull_1,Arginine,18.225,overloaded?,9811281920,9639066368,133289096,1.592964464,77.12676416,0.017552808,9811281920
20,170410_Poo_April10AqExtractsFull_2,Arginine,18.32,overloaded?,9306223616,9134008064,133207768,1.714672681,53.54789398,0.018505417,9306223616
21,170410_Poo_April10AqExtractsFull_3,Arginine,18.33,overloaded?,9338542080,9166326528,133285432,1.716015663,55.72650432,0.018441375,9338542080
22,170410_Poo_April10AqExtractsHalf_1,Arginine,18.485,overloaded?,7301191168,7128975616,133343808,2.133411737,51.01570626,0.023587323,7301191168
23,170410_Poo_April10AqExtractsHalf_2,Arginine,18.435,overloaded?,7396793856,7224578304,133445192,2.098737782,56.98403479,0.023282459,7396793856
24,170410_Poo_April10AqExtractsHalf_3,Arginine,18.365,overloaded?,7896802816,7724587264,133256000,2.122290684,52.89095995,0.021808263,7896802816
25,170410_Smp_32ppt-1C_A,Arginine,18.28,overloaded?,9892668416,9720452864,133264480,1.701006574,66.00034966,0.017408402,9892668416
26,170410_Smp_32ppt-1C_B,Arginine,18.29,overloaded?,9130784768,8958569216,133438488,1.714583595,70.24608407,0.01886098,9130784768
27,170410_Smp_32ppt-1C_C,Arginine,18.235,overloaded?,9586802688,9414587136,133241904,1.699033176,64.22104394,0.017963815,9586802688
28,170410_Smp_32ppt4C_A,Arginine,18.29,overloaded?,10083991552,9911776000,133385264,1.6339311,83.98052224,0.017078113,10083991552
29,170410_Smp_32ppt4C_B,Arginine,18.25,overloaded?,9762343936,9590128384,133335664,1.622219906,80.58447262,0.017640799,9762343936
30,170410_Smp_32ppt4C_C,Arginine,18.265,overloaded?,9970174976,9797959424,133262256,1.639007421,69.63057097,0.017273072,9970174976
31,170410_Smp_40ppt-1C_A,Arginine,18.29,overloaded?,9947482112,9775266560,133407128,1.704597137,76.93776968,0.017312477,9947482112
32,170410_Smp_40ppt-1C_B,Arginine,18.285,overloaded?,9970996224,9798780672,133319776,1.65656548,64.73153992,0.01727165,9970996224
33,170410_Smp_40ppt-1C_C,Arginine,18.335,overloaded?,10136217600,9964002048,133290496,1.659736044,62.33117845,0.01699012,10136217600
34,170410_Smp_40ppt4C_A,Arginine,18.3,overloaded?,8933992448,8761776896,133348560,1.831295465,71.16702159,0.019276438,8933992448
35,170410_Smp_40ppt4C_B,Arginine,18.37,overloaded?,8390877184,8218661632,133326136,1.852159566,57.32146429,0.020524142,8390877184
36,170410_Smp_40ppt4C_C,Arginine,18.355,overloaded?,8185138176,8012922624,133258176,1.880908563,47.74592076,0.02104003,8185138176
37,170410_Poo_April10AqExtractsFull_1,Asparagine,11.69,,30724600,30552052,2078308,1.209716602,87.95600492,0.005615956,30724600
38,170410_Poo_April10AqExtractsFull_2,Asparagine,11.48,,18665376,18492828,870742,1.197322849,19.95325702,0.009244282,18665376
39,170410_Poo_April10AqExtractsFull_3,Asparagine,11.395,,18916366,18743818,908352,1.239043039,17.98565729,0.009121625,18916366
40,170410_Poo_April10AqExtractsHalf_1,Asparagine,11.47,,16315987,16143439,918521,1.232741771,31.88084481,0.010575395,16315987
41,170410_Poo_April10AqExtractsHalf_2,Asparagine,11.4,,15502822,15330274,870048,1.244380997,34.08164986,0.011130103,15502822
42,170410_Poo_April10AqExtractsHalf_3,Asparagine,11.525,,15552009,15379461,929613,1.099598447,106.9769334,0.011094901,15552009
43,170410_Smp_32ppt-1C_A,Asparagine,11.58,,10138752,9966204,541657,1.157158764,27.39200333,0.017018663,10138752
44,170410_Smp_32ppt-1C_B,Asparagine,11.54,,9770693,9598145,467814,1.185901733,21.12409942,0.01765975,9770693
45,170410_Smp_32ppt-1C_C,Asparagine,11.61,,12662699,12490151,732490,1.199854589,63.17568005,0.013626479,12662699
46,170410_Smp_32ppt4C_A,Asparagine,11.655,,29047606,28875058,1822089,1.294298326,116.3813698,0.00594018,29047606
47,170410_Smp_32ppt4C_B,Asparagine,11.63,,33147928,32975380,2065290,1.157444418,27.66053905,0.005205393,33147928
48,170410_Smp_32ppt4C_C,Asparagine,11.625,,27292110,27119562,1657892,1.175912065,36.27944746,0.006322267,27292110
49,170410_Smp_40ppt-1C_A,Asparagine,11.6,,19539842,19367294,1069223,1.224286302,19.45657051,0.008830573,19539842
